standard_names,Population (2020),Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,Yearly Change %,World Share %
China,1440297825,5540090,153,9388211,-348399.0,1.7,38,61.0,0.39,18.47
India,1382345085,13586631,464,2973190,-532687.0,2.2,28,35.0,0.99,17.7
United States,331341050,1937734,36,9147420,954806.0,1.8,38,83.0,0.59,4.25
Indonesia,274021604,2898047,151,1811570,-98955.0,2.3,30,56.0,1.07,3.51
Pakistan,221612785,4327022,287,770880,-233379.0,3.6,23,35.0,2.0,2.83
Brazil,212821986,1509890,25,8358140,21200.0,1.7,33,88.0,0.72,2.73
Nigeria,206984347,5175990,226,910770,-60000.0,5.4,18,52.0,2.58,2.64
Bangladesh,164972348,1643222,1265,130170,-369501.0,2.1,28,39.0,1.01,2.11
Russia,145945524,62206,9,16376870,182456.0,1.8,40,74.0,0.04,1.87
Mexico,129166028,1357224,66,1943950,-60000.0,2.1,29,84.0,1.06,1.65
Japan,126407422,-383840,347,364555,71560.0,1.4,48,92.0,-0.3,1.62
Ethiopia,115434444,2884858,115,1000000,30000.0,4.3,19,21.0,2.57,1.47
Philippines,109830324,1464463,368,298170,-67152.0,2.6,26,47.0,1.35,1.41
Egypt,102659126,1946331,103,995450,-38033.0,3.3,25,43.0,1.94,1.31
Vietnam,97490013,876473,314,310070,-80000.0,2.1,32,38.0,0.91,1.25
DR Congo,90003954,2770836,40,2267050,23861.0,6.0,17,46.0,3.19,1.15
Turkey,84495243,909452,110,769630,283922.0,2.1,32,76.0,1.09,1.08
Iran,84176929,1079043,52,1628550,-55000.0,2.2,32,76.0,1.3,1.08
Germany,83830972,266897,240,348560,543822.0,1.6,46,76.0,0.32,1.07
Thailand,69830779,174396,137,510890,19444.0,1.5,40,51.0,0.25,0.9
United Kingdom,67948282,355839,281,241930,260650.0,1.8,40,83.0,0.53,0.87
France,65298930,143783,119,547557,36527.0,1.9,42,82.0,0.22,0.84
Italy,60446035,-88249,206,294140,148943.0,1.3,47,69.0,-0.15,0.78
Tanzania,60012400,1728755,67,885800,-40076.0,4.9,18,37.0,2.98,0.77
South Africa,59436725,750420,49,1213090,145405.0,2.4,28,67.0,1.28,0.76
Myanmar,54473253,364380,83,653290,-163313.0,2.2,29,31.0,0.67,0.7
Kenya,53968739,1197323,94,569140,-10000.0,3.5,20,28.0,2.28,0.69
South Korea,51276977,43877,527,97230,11731.0,1.1,44,82.0,0.09,0.66
Colombia,50976248,543448,46,1109500,204796.0,1.8,31,80.0,1.08,0.65
Spain,46757980,18002,94,498800,40000.0,1.3,45,80.0,0.04,0.6
Uganda,45974931,1471413,229,199810,168694.0,5.0,17,26.0,3.32,0.59
Argentina,45267449,415097,17,2736690,4800.0,2.3,32,93.0,0.93,0.58
Algeria,43984569,797990,18,2381740,-10000.0,3.1,29,73.0,1.85,0.56
Sudan,44019263,1036022,25,1765048,-50000.0,4.4,20,35.0,2.42,0.56
Ukraine,43686577,-259876,75,579320,10000.0,1.4,41,69.0,-0.59,0.56
Iraq,40372771,912710,93,434320,7834.0,3.7,21,73.0,2.32,0.52
Afghanistan,39074280,886592,60,652860,-62920.0,4.6,18,25.0,2.33,0.5
Poland,37839255,-41157,124,306230,-29395.0,1.4,42,60.0,-0.11,0.49
Canada,37799407,331107,4,9093510,242032.0,1.5,41,81.0,0.89,0.48
Morocco,36985624,438791,83,446300,-51419.0,2.4,30,64.0,1.2,0.47
Saudi Arabia,34905942,545343,16,2149690,134979.0,2.3,32,84.0,1.59,0.45
Uzbekistan,33551824,487487,79,425400,-8863.0,2.4,28,50.0,1.48,0.43
Peru,33050211,461401,26,1280000,99069.0,2.3,31,79.0,1.42,0.42
Angola,33032075,1040977,26,1246700,6413.0,5.6,17,67.0,3.27,0.42
Malaysia,32436963,416222,99,328550,50000.0,2.0,30,78.0,1.3,0.42
Mozambique,31398811,889399,40,786380,-5000.0,4.9,18,38.0,2.93,0.4
Ghana,31181428,655084,137,227540,-10000.0,3.9,22,57.0,2.15,0.4
Yemen,29935468,664042,56,527970,-30000.0,3.8,20,38.0,2.28,0.38
Nepal,29225196,528098,203,143350,41710.0,1.9,25,21.0,1.85,0.37
Venezuela,28421581,-79889,32,882050,-653249.0,2.3,30,,-0.28,0.36
Madagascar,27808395,721711,48,581795,-1500.0,4.1,20,39.0,2.68,0.36
Cameroon,26655083,669483,56,472710,-4800.0,4.6,19,56.0,2.59,0.34
Cote d'Ivoire,26486282,661730,83,318000,-8000.0,4.7,19,51.0,2.57,0.34
North Korea,25798588,112655,214,120410,-5403.0,1.9,35,63.0,0.44,0.33
Australia,25550683,296686,3,7682300,158246.0,1.8,38,86.0,1.18,0.33
Niger,24346468,895929,19,1266700,4000.0,7.0,15,17.0,3.84,0.31
Taiwan,23824369,42899,673,35410,30001.0,1.2,42,79.0,0.18,0.31
Sri Lanka,21428970,89516,341,62710,-97986.0,2.2,34,18.0,0.42,0.27
Burkina Faso,20997293,581895,76,273600,-25000.0,5.2,18,31.0,2.86,0.27
Mali,20346106,592802,17,1220190,-40000.0,5.9,16,44.0,3.02,0.26
Romania,19214608,-126866,84,230170,-73999.0,1.6,43,55.0,-0.66,0.25
Malawi,19211425,501205,203,94280,-16053.0,4.3,18,18.0,2.69,0.25
Chile,19144605,164163,26,743532,111708.0,1.7,35,85.0,0.87,0.25
Kazakhstan,18815231,225280,7,2699700,-18000.0,2.8,31,58.0,1.21,0.24
Zambia,18468257,522925,25,743390,-8000.0,4.7,18,45.0,2.93,0.24
Guatemala,17971382,334096,167,107160,-9215.0,2.9,23,52.0,1.9,0.23
Ecuador,17688599,269392,71,248360,36400.0,2.4,28,63.0,1.55,0.23
Syria,17571053,430523,95,183630,-427391.0,2.8,26,60.0,2.52,0.22
Netherlands,17141544,37742,508,33720,16000.0,1.7,43,92.0,0.22,0.22
Senegal,16816539,447563,87,192530,-20000.0,4.7,19,49.0,2.75,0.21
Cambodia,16758448,232423,95,176520,-30000.0,2.5,26,24.0,1.41,0.21
Chad,16502877,478988,13,1259200,2000.0,5.8,17,23.0,3.0,0.21
Somalia,15965848,450317,25,627340,-40000.0,6.1,17,47.0,2.92,0.2
Zimbabwe,14899771,217456,38,386850,-116858.0,3.6,19,38.0,1.48,0.19
Guinea,13191279,361549,53,245720,-4000.0,4.7,18,39.0,2.83,0.17
Rwanda,13005303,325268,525,24670,-9000.0,4.1,20,18.0,2.58,0.17
Benin,12175480,322049,108,112760,-2000.0,4.9,19,48.0,2.73,0.16
Burundi,11948454,360204,463,25680,2001.0,5.5,17,14.0,3.12,0.15
Tunisia,11839918,123900,76,155360,-4000.0,2.2,33,70.0,1.06,0.15
Bolivia,11700207,159921,11,1083300,-9504.0,2.8,26,69.0,1.39,0.15
Belgium,11598451,50295,383,30280,48000.0,1.7,42,98.0,0.44,0.15
Haiti,11426356,139451,414,27560,-35000.0,3.0,24,57.0,1.24,0.15
Cuba,11325391,-6867,106,106440,-14400.0,1.6,42,78.0,-0.06,0.15
South Sudan,11216250,131612,18,610952,-174200.0,4.7,19,25.0,1.19,0.14
Dominican Republic,10866667,108952,225,48320,-30000.0,2.4,28,85.0,1.01,0.14
Czech Republic,10712481,19772,139,77240,22011.0,1.6,43,74.0,0.18,0.14
Greece,10413936,-50401,81,128900,-16000.0,1.3,46,85.0,-0.48,0.13
Jordan,10220604,101440,115,88780,10220.0,2.8,24,91.0,1.0,0.13
Portugal,10191409,-29478,111,91590,-6000.0,1.3,46,66.0,-0.29,0.13
Azerbaijan,10154978,91459,123,82658,1200.0,2.1,32,56.0,0.91,0.13
Sweden,10110233,62886,25,410340,40000.0,1.9,41,88.0,0.63,0.13
Honduras,9931333,158490,89,111890,-6800.0,2.5,24,57.0,1.63,0.13
United Arab Emirates,9910892,119873,118,83600,40000.0,1.4,33,86.0,1.23,0.13
Hungary,9655983,-24328,107,90530,6000.0,1.5,43,72.0,-0.25,0.12
Tajikistan,9573310,216627,68,139960,-20000.0,3.6,22,27.0,2.32,0.12
Belarus,9448772,-3088,47,202910,8730.0,1.7,40,79.0,-0.03,0.12
Austria,9015361,51296,109,82409,65000.0,1.5,43,57.0,0.57,0.12
Papua New Guinea,8975531,170915,20,452860,-800.0,3.6,22,13.0,1.95,0.11
Serbia,8731081,-34864,100,87460,4000.0,1.5,42,56.0,-0.4,0.11
Israel,8678517,136158,400,21640,10000.0,3.0,30,93.0,1.6,0.11
Switzerland,8665615,63257,219,39516,52000.0,1.5,43,74.0,0.74,0.11
Togo,8310934,196358,152,54390,-2000.0,4.4,19,43.0,2.43,0.11
Sierra Leone,8004158,163768,111,72180,-4200.0,4.3,19,43.0,2.1,0.1
Hong Kong,7507523,60827,7140,1050,29308.0,1.3,45,,0.82,0.1
Laos,7293542,106105,32,230800,-14704.0,2.7,24,36.0,1.48,0.09
Paraguay,7147553,87902,18,397300,-16556.0,2.4,26,62.0,1.25,0.09
Bulgaria,6939018,-51674,64,108560,-4800.0,1.6,45,76.0,-0.74,0.09
Libya,6887247,93840,4,1759540,-1999.0,2.3,29,78.0,1.38,0.09
Lebanon,6819976,-30268,667,10230,-30012.0,2.1,30,78.0,-0.44,0.09
Nicaragua,6638075,79052,55,120340,-21272.0,2.4,26,57.0,1.21,0.08
Kyrgyz Republic,6542426,108345,34,191800,-4000.0,3.0,26,36.0,1.69,0.08
El Salvador,6491923,32652,313,20720,-40539.0,2.1,28,73.0,0.51,0.08
Turkmenistan,6046292,89111,13,469930,-5000.0,2.8,27,53.0,1.5,0.08
Singapore,5858322,46005,8358,700,27028.0,1.2,42,,0.79,0.08
Denmark,5795780,20326,137,42430,15200.0,1.8,42,88.0,0.35,0.07
Finland,5542237,8564,18,303890,14000.0,1.5,43,86.0,0.15,0.07
Congo Republic,5540555,137579,16,341500,-4000.0,4.5,19,70.0,2.56,0.07
Slovakia,5460109,2629,114,48088,1485.0,1.5,41,54.0,0.05,0.07
Norway,5428594,42384,15,365268,28000.0,1.7,40,83.0,0.79,0.07
Oman,5128058,131640,16,309500,87400.0,2.9,31,87.0,2.65,0.07
Palestine,5121112,119994,847,6020,-10563.0,3.7,21,80.0,2.41,0.07
Costa Rica,5102158,46557,100,51060,4200.0,1.8,33,80.0,0.92,0.07
Liberia,5077411,120307,53,96320,-5000.0,4.4,19,53.0,2.44,0.06
Ireland,4947267,55291,72,68890,23604.0,1.8,38,63.0,1.13,0.06
Central African Republic,4843954,84582,8,622980,-40000.0,4.8,18,43.0,1.78,0.06
New Zealand,4829021,39170,18,263310,14881.0,1.9,38,87.0,0.82,0.06
Mauritania,4669775,123962,5,1030700,5000.0,4.6,20,57.0,2.74,0.06
Panama,4326296,68328,58,74340,11200.0,2.5,30,68.0,1.61,0.06
Kuwait,4281320,63488,240,17820,39520.0,2.1,37,,1.51,0.05
Croatia,4100719,-25037,73,55960,-8001.0,1.4,44,58.0,-0.61,0.05
Moldova,4032294,-9300,123,32850,-1387.0,1.3,38,43.0,-0.23,0.05
Georgia,3987805,-7598,57,69490,-10000.0,2.1,38,58.0,-0.19,0.05
Eritrea,3554797,49304,35,101000,-39858.0,4.1,19,63.0,1.41,0.05
Uruguay,3475842,11996,20,175020,-3000.0,2.0,36,96.0,0.35,0.04
Bosnia and Herzegovina,3277152,-20181,64,51000,-21585.0,1.3,43,52.0,-0.61,0.04
Mongolia,3287242,53123,2,1553560,-852.0,2.9,28,67.0,1.65,0.04
Armenia,2964219,5512,104,28470,-4998.0,1.8,35,63.0,0.19,0.04
Jamaica,2963429,12888,273,10830,-11332.0,2.0,31,55.0,0.44,0.04
Qatar,2889284,48986,248,11610,40000.0,1.9,32,96.0,1.73,0.04
Albania,2877239,-3120,105,27400,-14000.0,1.6,36,63.0,-0.11,0.04
Puerto Rico,2846860,-72555,323,8870,-97986.0,1.2,44,,-2.47,0.04
Lithuania,2715340,-37338,43,62674,-32780.0,1.7,45,71.0,-1.35,0.03
Namibia,2548663,46375,3,823290,-4806.0,3.4,22,55.0,1.86,0.03
Gambia,2427782,68962,239,10120,-3087.0,5.3,18,59.0,2.94,0.03
Botswana,2359585,47930,4,566730,3000.0,2.9,24,73.0,2.08,0.03
Gabon,2234448,53155,9,257670,3260.0,4.0,23,87.0,2.45,0.03
Lesotho,2145194,16981,71,30360,-10047.0,3.2,24,31.0,0.8,0.03
Macedonia,2083359,-85,83,25220,-1000.0,1.5,39,59.0,0.0,0.03
Slovenia,2078989,284,103,20140,2000.0,1.6,45,55.0,0.01,0.03
Guinea-Bissau,1975718,47079,70,28120,-1399.0,4.5,19,45.0,2.45,0.03
Latvia,1882408,-20545,30,62200,-14837.0,1.7,44,69.0,-1.08,0.02
Bahrain,1711057,60403,2239,760,47800.0,2.0,32,89.0,3.68,0.02
Equatorial Guinea,1410419,46999,50,28050,16000.0,4.6,22,73.0,3.47,0.02
Trinidad and Tobago,1400283,4515,273,5130,-800.0,1.7,36,52.0,0.32,0.02
Estonia,1326693,887,31,42390,3911.0,1.6,42,68.0,0.07,0.02
Timor-Leste,1322667,25326,89,14870,-5385.0,4.1,21,33.0,1.96,0.02
Mauritius,1272140,2100,626,2030,0.0,1.4,37,41.0,0.17,0.02
Cyprus,1208886,8784,131,9240,5000.0,1.3,37,67.0,0.73,0.02
Eswatini,1162233,12034,67,17200,-8353.0,3.0,21,30.0,1.05,0.01
Djibouti,990447,14440,43,23180,900.0,2.8,27,79.0,1.48,0.01
Fiji,897573,6492,49,18270,-6202.0,2.8,28,59.0,0.73,0.01
Reunion,896422,6385,358,2500,-1256.0,2.3,36,100.0,0.72,0.01
Comoros,872695,18715,467,1861,-2000.0,4.2,20,29.0,2.2,0.01
Guyana,787215,3786,4,196850,-6000.0,2.5,27,27.0,0.48,0.01
Bhutan,773069,8516,20,38117,320.0,2.0,28,46.0,1.12,0.01
Solomon Islands,689671,17061,25,27990,-1600.0,4.4,20,23.0,2.55,0.01
Macau,650846,8890,21645,30,5000.0,1.2,39,,1.39,0.01
Montenegro,628080,79,47,13450,-480.0,1.8,39,68.0,0.01,0.01
Luxembourg,627704,10249,242,2590,9741.0,1.5,40,88.0,1.66,0.01
Western Sahara,599769,14876,2,266000,5582.0,2.4,28,87.0,2.55,0.01
Suriname,587541,5260,4,156000,-1000.0,2.4,29,65.0,0.9,0.01
Cabo Verde,557026,6052,138,4030,-1342.0,2.3,28,68.0,1.1,0.01
Maldives,542151,9591,1802,300,11370.0,1.9,30,35.0,1.81,0.01
Malta,441750,1171,1380,320,900.0,1.5,43,93.0,0.27,0.01
Brunei Darussalam,438202,4194,83,5270,0.0,1.8,32,80.0,0.97,0.01
Guadeloupe,400136,68,237,1690,-1440.0,2.2,44,,0.02,0.01
Belize,398845,7275,17,22810,1200.0,2.3,25,46.0,1.86,0.01
Bahamas,393893,3762,39,10010,1000.0,1.8,32,86.0,0.97,0.01
Martinique,375213,-289,354,1060,-960.0,1.9,47,92.0,-0.08,0.0
Iceland,341628,2212,3,100250,380.0,1.8,37,94.0,0.65,0.0
Vanuatu,308337,7263,25,12190,120.0,3.8,21,24.0,2.42,0.0
French Guiana,299958,7850,4,82200,1200.0,3.4,25,87.0,2.7,0.0
Barbados,287437,350,668,430,-79.0,1.6,40,31.0,0.12,0.0
New Caledonia,285972,2748,16,18280,502.0,2.0,34,72.0,0.97,0.0
French Polynesia,281191,1621,77,3660,-1000.0,2.0,34,64.0,0.58,0.0
Mayotte,273905,6665,728,375,0.0,3.7,20,46.0,2.5,0.0
Sao Tome and Principe,219844,4103,228,960,-1680.0,4.4,19,74.0,1.91,0.0
Samoa,198643,1317,70,2830,-2803.0,3.9,22,18.0,0.67,0.0
St. Lucia,183774,837,301,610,0.0,1.4,34,19.0,0.46,0.0
not found,174140,1604,915,190,1351.0,1.5,43,30.0,0.93,0.0
Guam,169031,1481,313,540,-506.0,2.3,31,95.0,0.89,0.0
Curacao,164211,669,370,444,515.0,1.8,42,89.0,0.41,0.0
Kiribati,119760,1843,147,810,-800.0,3.6,23,57.0,1.57,0.0
"Micronesia, Fed. Sts.",115231,1208,164,700,-600.0,3.1,24,21.0,1.06,0.0
Grenada,112614,520,331,340,-200.0,2.1,32,35.0,0.46,0.0
St. Vincent and the Grenadines,111002,351,284,390,-200.0,1.9,33,53.0,0.32,0.0
Aruba,106845,452,593,180,201.0,1.9,41,44.0,0.43,0.0
Tonga,105901,1201,147,720,-800.0,3.6,22,24.0,1.15,0.0
United States Virgin Islands,104398,-153,298,350,-451.0,2.0,43,96.0,-0.15,0.0
Seychelles,98453,608,214,460,-200.0,2.5,34,56.0,0.62,0.0
Antigua and Barbuda,98069,811,223,440,0.0,2.0,34,26.0,0.84,0.0
