standard_names,ISO_2,ISO_3,Population (2020),lat,lng,Density (P/KmÂ²),Confirmed,stringency_index,Infection_rate_f
United States,US,USA,331341050,37.09024,-95.712891,36,17459296.0,56.0458798261126,5.2692000000000005
India,IN,IND,1382345085,20.593684,78.96288,464,9462809.0,62.86949657869013,0.6845
Brazil,BR,BRA,212821986,-14.235004,-51.92528,25,7162978.0,56.76168727598566,3.3657
China,CN,CHN,1440297825,35.86166,104.195397,153,6665209.0,68.3918409961686,0.4628
France,FR,FRA,65298930,46.227638,2.213749,119,5352449.0,55.22379526634532,8.1966
Russia,RU,RUS,145945524,61.52401,105.318756,9,2764843.0,50.60099820788531,1.8944
Spain,ES,ESP,46757980,40.46366700000001,-3.74922,94,2246032.0,55.975557347670254,4.8034
United Kingdom,GB,GBR,67948282,55.378051,-3.435973,281,2173896.0,56.888553272926714,3.1993
Italy,IT,ITA,60446035,41.87194,12.56738,206,2159937.0,58.36423869113832,3.5734000000000004
Turkey,TR,TUR,84495243,38.963745,35.243322,110,1982090.0,53.585087416692836,2.3457
Ireland,IE,IRL,4947267,53.1423672,-7.692053599999999,72,78254.0,56.33191739498913,1.5816999999999999
Nigeria,NG,NGA,206984347,9.081999,8.675277000000001,226,77013.0,53.88597939068101,0.037200000000000004
Uzbekistan,UZ,UZB,33551824,41.377491,64.585262,79,75675.0,50.968374551971316,0.22550000000000003
Malaysia,MY,MYS,32436963,4.210483999999999,101.975766,99,65697.0,52.72671945259044,0.2026
Singapore,SG,SGP,5858322,1.352083,103.819836,8358,58386.0,49.63441750092696,0.9966999999999999
Ghana,GH,GHA,31181428,7.9465270000000015,-1.0231940000000002,137,53653.0,41.62375806451612,0.17209999999999998
Albania,AL,ALB,2877239,41.153332,20.168331,105,52004.0,55.330056482511445,1.8074
Luxembourg,LU,LUX,627704,49.815273,6.1295829999999984,242,51656.0,43.160277777777786,8.2295
South Korea,KR,KOR,51276977,35.90775700000001,127.766922,527,48570.0,47.322043853841116,0.0945
Finland,FI,FIN,5542237,61.92410999999999,25.7481511,18,47179.0,36.91560894821407,0.8510999999999999
Barbados,BB,BRB,287437,13.193887,-59.543198,668,307.0,45.0592128908664,0.1069
Seychelles,SC,SYC,98453,-4.679574,55.491977,214,202.0,33.86058595970831,0.2051
Monaco,MC,MCO,39290,43.73841760000001,7.424615799999999,26337,154.0,54.186198553948834,0.3919
Brunei Darussalam,BN,BRN,438202,4.535277,114.727669,83,152.0,38.28270519713262,0.0349
Dominica,DM,DMA,72017,15.414999,-61.37097600000001,96,88.0,35.82254928315413,0.1224
Fiji,FJ,FJI,897573,-17.713371,178.065032,49,46.0,51.240737547892714,0.005
Laos,LA,LAO,7293542,19.85627,102.495496,32,41.0,34.86785842293907,0.0004
Timor-Leste,TL,TLS,1322667,-8.874217,125.727539,89,31.0,31.38505892349524,0.0024
Solomon Islands,SB,SLB,689671,-9.64571,160.156194,25,17.0,31.102298170807074,0.0024999999999999996
Vanuatu,VU,VUT,308337,-15.376706,166.959158,25,1.0,38.58962365591398,0.0003
