rank,school,type,grades,address,city,zip,county,district,year
1,Infinity Institute,Public,6-12,193 Old Bergen Road,Jersey City,07305,Hudson County,Jersey City Public Schools,2018
2,Sea Girt Elementary School,Public,"PK, KG-8",451 Bell Place,Sea Girt,08750,Monmouth County,Sea Girt Borough School District,2018
3,Mendham Township Middle School,Public,5-8,16 Washington Valley Road,Brookside,07926,Morris County,Mendham Township School District,2018
4,H W Mountz Elementary School,Public,"PK, KG-8",411 Tuttle Ave,Spring Lake,07762,Monmouth County,Spring Lake Borough,2018
5,Markham Place School,Public,5-8,95 Markham Place,Little Silver,07739,Monmouth County,Little Silver Boro School District,2018
6,Sara M. Gilmore Academy,Public,1-8,1700 Kerrigan Avenue,Union City,07087,Hudson County,Union City School District,2018
7,Hoboken Dual Language Charter School,"Public, Charter",K-8,123 Jefferson Street,Hoboken,07030,Hudson County,Hoboken Dual Language Charter School,2018
8,Demarest Middle School,Public,5-8,568 Piermont Rd,Demarest,07627,Bergen County,Demarest School District,2018
9,Brookside School,Public,4-8,100 Brookside Avenue,Allendale,07401,Bergen County,Allendale Public School District,2018
10,Woodcliff Middle School,Public,6-8,134 Woodcliff Ave,Woodcliff Lake,07677,Bergen County,Woodcliff Lake School District,2018
11,Bay Head Elementary,Public,K-8,145 Grove Street,Bay Head,08742,Ocean County,Bay Head Borough School District,2018
12,Forrestdale School,Public,4-8,60 Forrest Avenue,Rumson,07760,Monmouth County,Rumson Borough School District,2018
13,Harding Township School,Public,"PK, KG-8",34 Lees Hill Road,New Vernon,07976,Morris County,Harding Township School District,2018
14,Nicholas Oresko Community School,Public,"PK, KG-8",33 East 24th Street,Bayonne,07002,Hudson County,Bayonne School District,2018
15,Ho-Ho-Kus Public School,Public,"PK, KG-8",70 Lloyd Road,Ho Ho Kus,07423,Bergen County,Ho-Ho-Kus School District,2018
16,Eugene A. Tighe Middle School,Public,5-8,7804 Amherst Avenue,Margate City,08402,Atlantic County,Margate City School District,2018
17,Tenakill Middle School,Public,5-8,275 High Street,Closter,07624,Bergen County,Closter Public School District,2018
18,Academy I,Public,6-8,209 Bergen Avenue,Jersey City,07305,Hudson County,Jersey City Public Schools,2018
19,Millburn Middle School,Public,6-8,25 Old Short Hills Rd,Millburn,07041,Essex County,Millburn Township School District,2018
20,Emil A. Cavallini Middle School,Public,6-8,392 W  Saddle River Rd,Upper Saddle River,07458,Bergen County,Upper Saddle River School District,2018
21,New Providence Middle School,Public,7-8,35 Pioneer Drive,New Providence,07974,Union County,New Providence School District,2018
22,Knollwood School,Public,4-8,224 Hance Road,Fair Haven,07704,Monmouth County,Fair Haven School District,2018
23,G. Harold Antrim Elementary School,Public,"PK, KG-8",401 Niblick Street,Point Pleasant Beach,08742,Ocean County,Point Pleasant Beach School District,2018
24,Robert Treat Academy Charter School,"Public, Charter",K-8,443 Clifton Avenue,Newark,07104,Essex County,Robert Treat Academy Charter School,2018
25,Princeton Charter School,"Public, Charter",K-8,100 Bunn Drive,Princeton,08540,Mercer County,Princeton Charter School,2018
26,Madison Junior School,Public,6-8,160 Main Street,Madison,07940,Morris County,Madison Public School District,2018
27,Upper School,Public,3-8,143 Charlotte Pl,Englewood Cliffs,07632,Bergen County,Englewood Cliffs School District,2018
28,School 28,Public,"PK, KG-8",200 Presidential Boulevard,Paterson,07522,Passaic County,Paterson Public School District,2018
29,Stewartsville Middle School,Public,6-8,642 South Main Street,Stewartsville,08886,Warren County,Greenwich Township School District,2018
30,Heritage Middle School,Public,7-8,20 Foxcroft Dr,Livingston,07039,Essex County,Livingston Board of Education School District,2018
31,Morris Plains Borough School,Public,3-8,500 Speedwell Avenue,Morris Plains,07950,Morris County,Morris Plains School District,2018
32,Tenafly Middle School,Public,6-8,10 Sunset Lane,Tenafly,07670,Bergen County,Tenafly Public School District,2018
33,Monmouth Beach Elementary School,Public,"PK, KG-8",7 Hastings Place,Monmouth Beach,07750,Monmouth County,Monmouth Beach School District,2018
34,East Amwell Township,Public,"PK, KG-8",43 Wertsville Rd,Ringoes,08551,Hunterdon County,East Amwell Township School District,2018
35,Woodrow Wilson Middle School,Public,6-8,50 Woodrow Wilson Drive,Edison,08820,Middlesex County,Edison Township School District,2018
36,Northvale Public School,Public,K-8,441 Tappan Road,Northvale,07647,Bergen County,Northvale Public School District,2018
37,Community Middle School,Public,6-8,95 Grovers Mill Road,Plainsboro,08536,Middlesex County,West Windsor-Plainsboro Regional School District,2018
38,Dwight D. Eisenhower Middle School,Public,6-8,344 Calvin Ct,Wyckoff,07481,Bergen County,Wyckoff Township Public School District,2018
39,Marlboro Memorial Middle School,Public,6-8,71 Nolan Road,Morganville,07751,Monmouth County,Marlboro Township School District,2018
40,Briarcliff Middle School,Public,6-8,93 Briarcliff Rd.,Mountain Lakes,07046,Morris County,Mountain Lakes Public School District,2018
41,Robert R Lazar Middle School,Public,6-8,123 Changebridge Road,Montville,07045,Morris County,Montville Township School District,2018
42,Thomas Edison EnergySmart Charter School,"Public, Charter, Alternative",K-12,150 Pierce Street,Somerset,08873,Somerset County,Thomas Edison EnergySmart Charter School,2018
43,Alpine Elementary School,Public,K-8,500 Hillside Avenue,Alpine,07620,Bergen County,Alpine School District,2018
44,Central Jersey College Prep Charter School,"Public, Charter, Alternative",K-12,101 Mettlers Road,Somerset,08873,Somerset County,Central Jersey College Prep Charter School,2018
45,Cranbury School,Public,"PK, KG-8",23 N Main St,Cranbury,08512,Middlesex County,Cranbury Township School District,2018
46,Charles DeWolf Middle School,Public,5-8,275 Old Tappan Rd,Old Tappan,07675,Bergen County,Old Tappan Public School District,2018
47,Orange Avenue School,Public,3-8,901 Orange Avenue,Cranford,07016,Union County,Cranford Public School District,2018
48,Glen Ridge High School,Public,7-12,200 Ridgewood Ave,Glen Ridge,07028,Essex County,Glen Ridge Public School District,2018
49,John Adams Middle School,Public,6-8,1081 New Dover Road,Edison,08820,Middlesex County,Edison Township School District,2018
50,Ridgedale Middle School,Public,6-8,71 Ridgedale Avenue,Florham Park,07932,Morris County,Florham Park School District,2018
51,Woodglen School,Public,5-8,70 Bunnvale Road,Califon,07830,Hunterdon County,Lebanon Township School District,2018
52,The Gray Charter School,"Public, Charter",K-8,55 Liberty Street,Newark,07102,Essex County,Gray Charter School,2018
53,Old Turnpike School,Public,6-8,171 Old Turnpike Road,Califon,07830,Hunterdon County,Tewksbury Township School District,2018
54,Deerfield Elementary School,Public,3-8,302 Central Avenue,Mountainside,07092,Union County,Mountainside School District,2018
55,Harrington Park School,Public,"PK, KG-8",191 Harriot Ave,Harrington Park,07640,Bergen County,Harrington Park School District,2018
56,Columbia Middle School,Public,6-8,345 Plainfield Ave,Berkeley Hts,07922,Union County,Berkeley Heights School District,2018
57,Belhaven Middle School,Public,5-8,51 Belhaven Avenue,Linwood,08221,Atlantic County,Linwood City School District,2018
58,Medford Memorial Middle School,Public,7-8,55 Mill Street,Medford,08055,Burlington County,Medford Township School District,2018
59,William R. Satz School,Public,7-8,24 Crawfords Corner Road,Holmdel,07733,Monmouth County,Holmdel Township School District,2018
60,River Dell Middle School,Public,7-8,230 Woodland Avenue,River Edge,07661,Bergen County,River Dell Regional School District,2018
61,Little Falls Township Public School # 1,Public,5-8,32 Stevens Avenue,Little Falls,07424,Passaic County,Little Falls Township Public School District,2018
62,Lavallette Elementary School,Public,K-8,105 Brooklyn Ave.,Lavallette,08735,Ocean County,Lavallette Borough School District,2018
63,William Allen Middle School,Public,7-8,801 N  Stanwick Road,Moorestown,08057,Burlington County,Moorestown Township Public School District,2018
64,Lawton C. Johnson Summit Middle School,Public,6-8,272 Morris Ave,Summit,07901,Union County,Summit Public School District,2018
65,William Annin Middle School,Public,6-8,70 Quincy Road,Basking Ridge,07920,Somerset County,Bernards Township School District,2018
66,Anthony Wayne Middle School,Public,6-8,201 Garside Avenue,Wayne,07470,Passaic County,Wayne Township Public School District,2018
67,Hoboken Charter School,"Public, Charter, Alternative",K-12,713 Washington St,Hoboken,07030,Hudson County,Hoboken Charter School,2018
68,George Washington Middle School,Public,6-8,68 Lenox Road,Wayne,07470,Passaic County,Wayne Township Public School District,2018
69,Maywood Avenue School,Public,4-8,452 Maywood Ave,Maywood,07607,Bergen County,Maywood School District,2018
70,Soaring Heights Charter School,"Public, Charter",K-8,1 Romar Avenue,Jersey City,07305,Hudson County,Soaring Heights Charter School,2018
71,Eric S. Smith Middle School,Public,6-8,2 Monroe Street,Ramsey,07446,Bergen County,Ramsey School District,2018
72,Shrewsbury Borough Elementary School,Public,"PK, KG-8",20 Obre Place,Shrewsbury,07702,Monmouth County,Shrewsbury Borough School District,2018
73,Holdrum Middle School,Public,6-8,393 Rivervale Road,River Vale,07675,Bergen County,River Vale Public School District,2018
74,Fieldstone Middle School,Public,5-8,47 Spring Valley Road,Montvale,07645,Bergen County,Montvale Board of Education School District,2018
75,Long Valley Middle School,Public,6-8,51 West Mill Rd,Long Valley,07853,Morris County,Washington Township School District,2018
76,West Essex Middle School,Public,7-8,65 West Greenbrook Rd,North Caldwell,07006,Essex County,West Essex Regional School District,2018
77,Warren Middle School,Public,6-8,100 Old Stirling Road,Warren,07060,Somerset County,Warren Township School District,2018
78,Black River Middle School,Public,6-8,133 Rt. 513 - North Road,Chester,07930,Morris County,Chester Township School District,2018
79,Pearl R. Miller Middle School,Public,6-8,117 Kiel Avenue,Kinnelon,07405,Morris County,Kinnelon School District,2018
80,Cedar Drive Middle School,Public,6-8,73 Cedar Drive,Colts Neck,07722,Monmouth County,Colts Neck Township School District,2018
81,Ethel Hoppock Middle School,Public,7-8,280 Asbury  West Portal Rd,Asbury,08802,Hunterdon County,Bethlehem Township School District,2018
82,Thomas Jefferson Middle School,Public,5-8,35 - 01 Morlot Avenue,Fair Lawn,07410,Bergen County,Fair Lawn Public School District,2018
83,Haddonfield Middle School,Public,6-8,Five Lincoln Avenue,Haddonfield,08033,Camden County,Haddonfield School District,2018
84,Kingwood Township School,Public,"PK, KG-8",880 County Road 519,Frenchtown,08825,Hunterdon County,Kingwood Township School District,2018
85,Emerson Junior Senior High,Public,7-12,131 Main Street,Emerson,07630,Bergen County,Emerson Public School District,2018
86,Chatham Middle School,Public,6-8,480 Main Street,Chatham,07928,Morris County,School District of the Chathams,2018
87,Slocum Skewes School,"Public, Alternative",2-9,650 Prospect Ave,Ridgefield,07657,Bergen County,Ridgefield School District,2018
88,Rosa International Middle School,Public,6-8,485 Browning Lane,Cherry Hill,08003,Camden County,Cherry Hill School District,2018
89,Terrill Middle School,Public,5-8,1301 Terrill Road,Scotch Plains,07076,Union County,Scotch Plains-Fanwood School District,2018
90,Brielle Elementary School,Public,"PK, KG-8",605 Union Lane,Brielle,08730,Monmouth County,Brielle Boro School District,2018
91,Benjamin Franklin Middle School,Public,6-8,335 North Van Dien Ave,Ridgewood,07451,Bergen County,Ridgewood Public School District,2018
92,Hammarskjold Middle School,Public,6-7,200 Rues Lane,E Brunswick,08816,Middlesex County,East Brunswick Township School District,2018
93,Mountain View School,Public,5-8,100 Dean Road,Mendham,07945,Morris County,Mendham Borough School District,2018
94,George Washington Middle School,Public,6-8,155 Washington Pl,Ridgewood,07451,Bergen County,Ridgewood Public School District,2018
95,Franklin Avenue Middle School,Public,6-8,755 Franklin Avenue,Franklin Lakes,07417,Bergen County,Franklin Lakes School District,2018
96,Marlboro Middle School,Public,6-8,355 County Road 520,Marlboro,07746,Monmouth County,Marlboro Township School District,2018
97,Thompson Middle School,Public,6-8,1001 Middletown  Lincroft Road,Middletown,07748,Monmouth County,Middletown Township Public School District,2018
98,Roosevelt Intermediate School,Public,6-8,301 Clark Street,Westfield,07090,Union County,Westfield Public School District,2018
99,East Brook Middle School,Public,5-8,190 Spring Valley Road,Paramus,07652,Bergen County,Paramus Public School District,2018
100,Lincoln Park Middle School,Public,5-8,90 Ryerson Road,Lincoln Park,07035,Morris County,Lincoln Park School District,2018
101,Mount Olive Middle School,Public,6-8,160 Wolfe Road,Budd Lake,07828,Morris County,Mount Olive Township School District,2018
102,Ramapo Ridge,Public,6-8,150 Ridge Road,Mahwah,07430,Bergen County,Mahwah Township Public School District,2018
103,Brooklawn Middle School,Public,6-8,250 Beachwood Road,Parsippany,07054,Morris County,Parsippany-Troy Hills Township School District,2018
104,Thomas Edison Intermediate School,Public,6-8,800 Rahway Avenue,Westfield,07090,Union County,Westfield Public School District,2018
105,Union Township Middle School,Public,5-8,165 Perryville Road,Hampton,08827,Hunterdon County,Union Township School District,2018
106,Norwood Public School,Public,"PK, KG-8",177 Summit St,Norwood,07648,Bergen County,Norwood Public School District,2018
107,Richard Butler School,Public,5-8,30 Pearl Place,Butler,07405,Morris County,Butler Public School District,2018
108,West Brook Middle School,Public,5-8,560 Roosevelt Boulevard,Paramus,07652,Bergen County,Paramus Public School District,2018
109,Schuyler Colfax Middle School,Public,6-8,1500 Hamburg Turnpike,Wayne,07470,Passaic County,Wayne Township Public School District,2018
110,Pequannock Valley School,Public,6-8,493 Newark Pompton Tpke.,Pompton Plains,07444,Morris County,Pequannock Township School District,2018
111,Leonia Middle School,Public,5-8,500 Broad Avenue,Leonia,07605,Bergen County,Leonia Public School District,2018
112,Cresskill Middle School,Public,6-8,220 Jefferson Ave,Cresskill,07626,Bergen County,Cresskill Public School District,2018
113,Central Middle School,Public,6-8,1620 Route 46,Parsippany,07054,Morris County,Parsippany-Troy Hills Township School District,2018
114,Sparta Middle School,Public,6-8,350 Main Street,Sparta,07871,Sussex County,Sparta Township Public School District,2018
115,Morris Goodwin School,Public,"PK, KG-8",839 Ye Greate Street,Greenwich,08323,Cumberland County,Greenwich Township School District,2018
116,Rockaway Valley School,Public,"PK, KG-8",11 Valley Road,Boonton,07005,Morris County,Boonton Township School District,2018
117,Norman S. Weir,Public,K-8,152 College Boulevard,Paterson,07505,Passaic County,Paterson Public School District,2018
118,J.P. Case Middle School,Public,7-8,301 Case Boulevard,Flemington,08822,Hunterdon County,Flemington-Raritan Regional School District,2018
119,Holland Township Elementary School,Public,"PK, KG-8",710 Milford  Warren Glen Road,Milford,08848,Hunterdon County,Holland Township School District,2018
120,Thomas R Grover Middle School,Public,6-8,10 Southfield Road,West Windsor,08550,Mercer County,West Windsor-Plainsboro Regional School District,2018
121,Haworth Public School,Public,K-8,205 Valley Rd,Haworth,07641,Bergen County,Haworth Public School District,2018
122,William F. Halloran School No.22,Public,2-8,612 Pulaski Street,Elizabeth,07202,Union County,Elizabeth Public Schools,2018
123,Logan Middle School,Public,5-8,110 School Lane,Logan Township,08085,Gloucester County,Logan Township School District,2018
124,Manalapan-Englishtown Middle School,Public,7-8,155 Millhurst Road,Manalapan,07726,Monmouth County,Manalapan-Englishtown Regional School District,2018
125,Science Park High School,Public,7-12,260 Norfolk Street,Newark,07102,Essex County,Newark Public School District,2018
126,Maple Place Middle School,Public,5-8,2 Maple Place,Oceanport,07757,Monmouth County,Oceanport School District,2018
127,Princeton Middle School,Public,6-8,217 Walnut Lane,Princeton,08540,Mercer County,Princeton Public School District,2018
128,Malcolm E Nettingham Middle School,Public,5-8,580 Park Avenue,Scotch Plains,07076,Union County,Scotch Plains-Fanwood School District,2018
129,Clifton T. Barkalow School,Public,6-8,498 Stillwells Corner Road,Freehold,07728,Monmouth County,Freehold Township School District,2018
130,Spring Lake Heights Elementary School,Public,"PK, KG-8",1110 Highway 71,Spring Lake,07762,Monmouth County,Spring Lake Heights School District,2018
131,Oldmans Township School,Public,"PK, KG-8",10 Freed Road,Pedricktown,08067,Salem County,Oldmans Township School District,2018
132,Hillsborough Township Middle School,Public,7-8,260 Triangle Road,Hillsborough,08844,Somerset County,Hillsborough Township Public School District,2018
133,Valleyview Middle School,Public,6-8,320 Diamond Spring Road,Denville,07834,Morris County,Denville Township K-8 School District,2018
134,Califon Public School,Public,"PK, KG-8",6 School Street,Califon,07830,Hunterdon County,Califon Borough School District,2018
135,Edgar Middle School,Public,5-8,49 Brunswick Avenue,Metuchen,08840,Middlesex County,Metuchen Public School District,2018
136,Glen Rock Middle School,Public,6-8,600 Harristown Road,Glen Rock,07452,Bergen County,Glen Rock Public School District,2018
137,Montgomery Upper Middle School,Public,7-8,375 Burnt Hill Road,Skillman,08558,Somerset County,Montgomery Township School District,2018
138,Westwood Regional Middle School,Public,6-8,23 Third Avenue,Westwood,07675,Bergen County,Westwood Regional School District,2018
139,Dwight D. Eisenhower School,Public,6-8,279 Burlington Road,Freehold,07728,Monmouth County,Freehold Township School District,2018
140,North Star Academy Charter School,"Public, Charter, Alternative",K-12,10 Washington Place,Newark,07102,Essex County,North Star Academy Charter School,2018
141,Bedminster Township Public School,Public,"PK, KG-8",234 Somerville Road,Bedminster,07921,Somerset County,Bedminster Township Public School District,2018
142,Park Ridge High School,Public,7-12,2 Park Ave,Park Ridge,07656,Bergen County,Park Ridge School District,2018
143,Pond Road Middle School,Public,5-8,150 Pond Road,Robbinsville,08691,Mercer County,Robbinsville Public Schools,2018
144,Bridgewater-Raritan Middle School,Public,7-8,128 Merriwood Road,Bridgewater,08807,Somerset County,Bridgewater-Raritan Regional School District,2018
145,Classical Academy Charter School of Clifton,"Public, Charter",6-8,1255 Main Avenue,Clifton,07011,Passaic County,Classical Academy Charter School of Clifton,2018
146,Thomas Jefferson Middle School,Public,6-8,75 First Street,Lodi,07644,Bergen County,Lodi School District,2018
147,Branchburg Central Middle School,Public,6-8,220 Baird Road,Branchburg,08876,Somerset County,Branchburg Township School District,2018
148,Honiss Elementary/Middle School,Public,K-8,31 Depew St,Dumont,07628,Bergen County,Dumont Public School District,2018
149,Clinton Township Middle School,Public,6-8,34 Grayrock Road,Clinton,08809,Hunterdon County,Clinton Township School District,2018
150,Green Brook Middle School,Public,5-8,132 Jefferson Avenue,Green Brook,08812,Somerset County,Green Brook Township Public School District,2018
151,Delaware Township School,Public,"PK, KG-8",501 Rosemont  Ringoes Road,Sergeantsville,08557,Hunterdon County,Delaware Township School District,2018
152,Monroe Township Middle School,Public,6-8,1629 Perrineville Road,Monroe Township,08831,Middlesex County,Monroe Township School District,2018
153,Memorial Junior School,Public,6-8,61 Highland Avenue,Whippany,07981,Morris County,Hanover Township School District,2018
154,Valley Middle School,Public,6-8,71 Oak St,Oakland,07436,Bergen County,Oakland Public School District,2018
155,Haskell Elementary School,Public,"PK, KG-8",973 Ringwood Avenue,Haskell,07420,Passaic County,Wanaque School District,2018
156,Selzer Elementary/Middle School,Public,"PK, KG-8",435 Prospect Ave,Dumont,07628,Bergen County,Dumont Public School District,2018
157,Riverdale School,Public,"PK, KG-8",52 Newark Pompton Turnpike,Riverdale,07457,Morris County,Riverdale School District,2018
158,Central Middle School,Public,6-8,90 Central Avenue,Stirling,07980,Morris County,Long Hill Township School District,2018
159,Kingsway Regional Middle School,Public,7-8,203 Kings Highway,Woolwich Twp,08085,Gloucester County,Kingsway Regional School District,2018
160,Manasquan Elementary School,Public,"PK, KG-8",168 Broad Street,Manasquan,08736,Monmouth County,Manasquan School District,2018
161,Crossroads North Middle School,Public,6-8,635 Georges Road,Monmouth Junction,08852,Middlesex County,South Brunswick School District,2018
162,Montague Township School,Public,"PK, KG-8",475 Route 206,Montague,07827,Sussex County,Montague Township School District,2018
163,David E. Owens Middle School,Public,6-8,470 Marion Avenue,New Milford,07646,Bergen County,New Milford Public School District,2018
164,Clinton Public School,Public,"PK, KG-8",10 School Street,Clinton,08809,Hunterdon County,Clinton-Glen Gardner School District,2018
165,Henry C. Beck Middle School,Public,6-8,950 Cropwell Rd.,Cherry Hill,08003,Camden County,Cherry Hill School District,2018
166,White Township Consolidated School,Public,"PK, KG-8",565 Cr 519,Belvidere,07823,Warren County,White Township Consolidated School District,2018
167,Hardyston Township Middle School,Public,5-8,183 Wheatsworth Road,Hamburg,07419,Sussex County,Hardyston Township School District,2018
168,Green Hills School,Public,K-8,69 Mackerly Road,Greendell,07839,Sussex County,Green Township School District,2018
169,Carl H. Kumpf School,Public,6-8,59 Mildred Terrace,Clark,07066,Union County,Clark Township Public School District,2018
170,Lakeside School,Public,6-8,316 Lakeside Avenue,Pompton Lakes,07442,Passaic County,Pompton Lakes School District,2018
171,Voorhees Middle School,Public,6-8,1000 Holly Oak Dr,Voorhees,08043,Camden County,Voorhees Township School District,2018
172,Neeta School,Public,3-8,44 Neeta Trail,Medford Lakes,08055,Burlington County,Medford Lakes School District,2018
173,Bernardsville Middle School,Public,5-8,141 Seney Drive,Bernardsville,07924,Somerset County,Somerset Hills Regional School District,2018
174,Crossroads South Middle School,Public,6-8,195 Major Road,Monmouth Junction,08852,Middlesex County,South Brunswick School District,2018
175,East Hanover Middle School,Public,6-8,477 Ridgedale Avenue,East Hanover,07936,Morris County,East Hanover Township School District,2018
